I6U616_1|b.34.14.1,c.55.3.10|d1u04a1,d1u04a2 annotated_I6U616|b.34.14.1,c.55.3.10|d1u04a1,d1u04a2 7736
P0DJQ8_1|d.153.1.1,c.26.2.1|d1jgta2,d1jgta1 annotated_P0DJQ8|d.153.1.1,c.26.2.1|d1jgta2,d1ct9a1 4570
Q9V2Z6_1|c.72.1.3|d1ua4a_ annotated_Q9V2Z6|c.72.1.3|d1ua4a_ 4550
P39126_1|c.77.1.1|d1hqsa_ annotated_P39126|c.77.1.1|d1hqsa_ 4258
O52552_1|c.67.1.4|d1b9ha_ annotated_O52552|c.67.1.4,c.67.1.1,c.67.1.4,c.67.1.1,c.67.1.3,c.67.1.1,c.67.1.2,c.67.1.1,c.67.1.4,c.67.1.3,c.67.1.5,c.67.1.4,c.67.1.3,c.67.1.9,c.67.1.8,c.67.1.4|d1b9ha_,d1lc5a_,d1o69a_,d1svva_,d1c7na_,d2q7wa1,d2v1pa1,d1v2da_,d1o69a_,d1t3ia_,d1c4ka2,d1bs0a_,d1qz9a_,d2e7ja1,d2aeua1,d1kl1a_ 3958
Q03103_1|a.227.1.1|d1rp4a_ annotated_Q03103|a.227.1.1|d1rp4a_ 3920
P0DJQ6_1|d.154.1.2|d1vz6a_ annotated_P0DJQ6|d.154.1.2|d1vz6a_ 3834
Q9RWB2_1|a.103.1.1|d1ioma_ annotated_Q9RWB2|a.103.1.1|d1ioma_ 3795
P26572_1|c.68.1.10|d1fo8a_ annotated_P26572|c.68.1.10|d1fo8a_ 3694
Q02127_1|c.1.4.1|d1d3ga_ annotated_Q02127|c.1.4.1|d1d3ga_ 3687
Q29599_1|d.218.1.6,a.160.1.2|d1px5a2,d1px5a1 annotated_Q29599|d.218.1.6,a.160.1.2|d1px5a2,d1px5a1 3663
P17612_1|d.144.1.7|d1rdqe_ annotated_P17612|d.144.1.7,d.144.1.9,d.144.1.7|d1rdqe_,d1zara2,d1tkia_ 3632
P17778_1|c.10.2.6|d1jl5a_ annotated_P17778|c.10.2.6,c.10.2.1,c.10.2.6,c.10.2.7,c.10.2.6|d1jl5a_,d2omza2,d1jl5a_,d1ookg_,d1jl5a_ 3602
P38251_1|c.37.1.20,a.80.1.1|d1sxje2,d1sxje1 annotated_P38251|c.37.1.20,a.80.1.1|d1sxje2,d1sxje1 3506
P39126_1|c.77.1.1|d1hqsa_ annotated_A0A090YHW5|c.77.1.1|d1hqsa_ 3471
Q8U1N9_1|d.159.1.4|d1ii7a_ annotated_Q8U1N9|d.159.1.4,d.159.1.5,d.159.1.7,d.159.1.8,d.159.1.11,d.159.1.7,d.159.1.12,d.159.1.6,d.159.1.11|d1ii7a_,d1nnwa_,d1s3la_,d1xm7a_,d2hy1a1,d1z2wa1,d2nxfa1,d2yvta1,d3d03a1 3463
A2W5J2_1|c.79.1.1|d1tyza_ annotated_A2W5J2|c.79.1.1|d1tyza_ 3443
P39126_1|c.77.1.1|d1hqsa_ annotated_Q5HF79|c.77.1.1|d1hqsa_ 3401
Q02127_1|c.1.4.1|d1d3ga_ annotated_Q63707|c.1.4.1|d1d3ga_ 3287
Q94M05_1|c.37.1.11|d1w44a_ annotated_Q94M05|c.37.1.11|d1w44a_ 3210
P95474_1|c.73.1.1|d1e19a_ annotated_P95474|c.73.1.1|d1e19a_ 3178
P0AG78_1|c.94.1.1|d1sbpa_ annotated_P0AG78|c.94.1.1|d1sbpa_ 3169
Q5SLE6_1|c.79.1.1|d1ve1a1 annotated_Q5SLE6|c.79.1.1|d1ve1a1 3115
P17612_1|d.144.1.7|d1rdqe_ annotated_P22612|d.144.1.7|d1rdqe_ 3106
Q5SI76_1|b.43.3.1,c.37.1.8,d.14.1.1,d.58.11.1,d.58.11.1|d2dy1a1,d2dy1a2,d2dy1a3,d2dy1a4,d2dy1a5 annotated_Q5SI76|c.37.1.8,c.37.1.10,c.37.1.8,b.43.3.1,d.58.11.1,d.14.1.1,d.58.11.1|d2dy1a2,d2qm8a1,d2cxxa1,d2dy1a1,d2dy1a4,d2dy1a3,d2dy1a5 3092
P17612_1|d.144.1.7|d1rdqe_ annotated_P12370|d.144.1.7,d.144.1.9,d.144.1.7|d1rdqe_,d1zara2,d1tkia_ 3043
P39126_1|c.77.1.1|d1hqsa_ annotated_W7DSZ5|c.77.1.1|d1hqsa_ 3038
P26572_1|c.68.1.10|d1fo8a_ annotated_A0A091UZ47|c.68.1.10|d1fo8a_ 3018
G0A839_1|d.157.1.5|d1p9ea_ annotated_G0A839|d.157.1.5,d.157.1.10,d.157.1.3,d.157.1.2,d.157.1.12,d.157.1.14,d.157.1.9,d.157.1.1,d.157.1.7,d.157.1.11,d.157.1.6,d.157.1.8,d.157.1.4,d.157.1.7,d.157.1.10|d1p9ea_,d2i7ta1,d1vmea2,d2qeda1,d2p97a1,d2q0ia1,d1zkpa1,d2gmna1,d2e7ya1,d1ztca1,d1xtoa_,d1wraa1,d1vjna_,d1y44a1,d2az4a1 2952
Q9X1K9_1|c.1.10.1|d1o5ka_ annotated_Q9X1K9|c.1.10.1|d1o5ka_ 2916
O30245_1|a.4.5.56,d.144.1.9|d1zara1,d1zara2 annotated_O30245|a.4.5.56,d.144.1.9,d.144.1.6|d1zara1,d1zara2,d1nd4a_ 2874
P95474_1|c.73.1.1|d1e19a_ annotated_Q9UWF8|c.73.1.2,c.73.1.1,c.73.1.3,c.73.1.2,c.73.1.1,c.73.1.3|d1gs5a_,d1e19a_,d2a1fa1,d2ap9a1,d1e19a_,d2akoa1 2867
Q9V2R8_1|c.56.7.1|d2gfqa1 annotated_Q9V2R8|c.56.7.1|d2gfqa1 2760
Q54944_1|c.37.1.21|d1gvnb_ annotated_Q54944|c.37.1.21,c.37.1.1|d1gvnb_,d1ly1a_ 2758
Q02127_1|c.1.4.1|d1d3ga_ annotated_L9KJX2|c.1.4.1,b.47.1.2|d1d3ga_,d1gdna_ 2734
Q5SI76_1|b.43.3.1,c.37.1.8,d.14.1.1,d.58.11.1,d.58.11.1|d2dy1a1,d2dy1a2,d2dy1a3,d2dy1a4,d2dy1a5 annotated_A9U7W1|b.43.3.1,d.58.11.1,d.14.1.1,d.58.11.1|d2dy1a1,d2dy1a4,d2dy1a3,d2dy1a5 2702
A6KXV0_1|c.108.1.10|d2rbka1 annotated_A6KXV0|c.108.1.10,c.108.1.19,c.108.1.17,c.108.1.10,c.108.1.9,c.108.1.10,c.108.1.15,c.108.1.25,c.108.1.1,c.108.1.6,c.108.1.1,c.108.1.24,c.108.1.4,c.108.1.11,c.108.1.5,c.108.1.19,c.108.1.14,c.108.1.3,c.108.1.6|d1l6ra_,d2fpwa1,d1u7pa_,d2rbka1,d1yj5a1,d2rbka1,d1u02a_,d2obba1,d1x42a1,d1o08a_,d1qq5a_,d1y8aa1,d1j97a_,d1rkua_,d1k1ea_,d2o2xa1,d2c4na1,d1swva_,d2hsza1 2660
P0AAI3_1|c.37.1.20|d1lv7a_ annotated_P0AAI3|c.37.1.20,c.37.1.1,c.37.1.20,c.37.1.11,c.37.1.25,a.269.1.1|d1lv7a_,d1lw7a2,d2fnaa2,d1ye8a1,d1zp6a1,d2ce7a1 2649
P0AG78_1|c.94.1.1|d1sbpa_ annotated_A0A084A0X8|c.94.1.1|d1sbpa_ 2636
P26572_1|c.68.1.10|d1fo8a_ annotated_F7E5D2|c.68.1.10|d1fo8a_ 2625
Q02127_1|c.1.4.1|d1d3ga_ annotated_F6XE44|c.1.4.1|d1d3ga_ 2622
P26572_1|c.68.1.10|d1fo8a_ annotated_G3VSG0|c.68.1.10|d1fo8a_ 2599
Q29599_1|d.218.1.6,a.160.1.2|d1px5a2,d1px5a1 annotated_W5PH55|d.218.1.6,a.160.1.2,d.218.1.6,a.160.1.2,d.218.1.6,a.160.1.2|d1px5a2,d1px5a1,d1px5a2,d1px5a1,d1px5a2,d1px5a1 2585
Q8A611_1|d.38.1.8,d.38.1.8|d2essa1,d2essa2 annotated_Q8A611|d.38.1.8,d.38.1.1,d.38.1.8|d2essa1,d2hlja1,d2owna2 2567
P0AG78_1|c.94.1.1|d1sbpa_ annotated_A0A085JN90|c.94.1.1|d1sbpa_ 2565
Q54944_1|c.37.1.21|d1gvnb_ annotated_E6LIR5|c.37.1.1,c.37.1.21|d1yj5a2,d1gvnb_ 2543
P0AAI3_1|c.37.1.20|d1lv7a_ annotated_C0B0G9|c.37.1.20,c.37.1.1,c.37.1.20,c.37.1.1,c.37.1.20,c.37.1.11,c.37.1.25|d1lv7a_,d1lw7a2,d1tuea_,d1y63a_,d2fnaa2,d1ye8a1,d1zp6a1 2535
Q51227_1|f.4.4.2|d2vdfa1 annotated_Q51227|f.4.4.2|d2vdfa1 2507
A2W5J2_1|c.79.1.1|d1tyza_ annotated_A4YUJ5|c.79.1.1|d1tyza_ 2464
P12735_1|c.22.1.1|d1vqoc1 annotated_P12735|c.22.1.1|d1dmga_ 2458
Q47PU3_1|c.3.1.5|d1w4xa2 annotated_Q47PU3|c.3.1.6,c.3.1.5,c.3.1.7,c.3.1.5,c.3.1.5|d1rp0a1,d1m6ia2,d2cula1,d1q1ra2,d1w4xa2 2452
Q02127_1|c.1.4.1|d1d3ga_ annotated_M7B5Z3|c.1.4.1,g.18.1.1,b.47.1.2,b.47.1.1|d1d3ga_,d1elva2,d1gdna_,d1p3ca_ 2437
Q02127_1|c.1.4.1|d1d3ga_ annotated_G1N9I5|c.1.4.1|d1gtea2 2430
A2W5J2_1|c.79.1.1|d1tyza_ annotated_A0A098T513|c.79.1.1|d1tyza_ 2414
Q03103_1|a.227.1.1|d1rp4a_ annotated_J5S9Z8|a.227.1.1|d1rp4a_ 2402
Q2FZL2_1|b.47.1.1|d2o8la1 annotated_Q2FZL2|b.47.1.1|d2o8la1 2397
P39126_1|c.77.1.1|d1hqsa_ annotated_D7RIE8|c.77.1.1|d1hqsa_ 2394
P0AAI3_1|c.37.1.20|d1lv7a_ annotated_W1H373|c.37.1.20,c.37.1.11,c.37.1.20,c.37.1.1,c.37.1.11,c.37.1.25|d1lv7a_,d1n0wa_,d1ny5a2,d1y63a_,d1ye8a1,d1zp6a1 2380
P0AAI3_1|c.37.1.20|d1lv7a_ annotated_F0LTP2|c.37.1.20,c.37.1.11|d1lv7a_,d1ye8a1 2380
Q29599_1|d.218.1.6,a.160.1.2|d1px5a2,d1px5a1 annotated_P11928|d.218.1.6,a.160.1.2|d1px5a2,d1px5a1 2371
P26572_1|c.68.1.10|d1fo8a_ annotated_E0VQ93|c.68.1.10|d1fo8a_ 2322
P0AAI3_1|c.37.1.20|d1lv7a_ annotated_A4NZ63|c.37.1.20,c.37.1.1,c.37.1.11,c.37.1.25|d1lv7a_,d1lw7a2,d1ye8a1,d1zp6a1 2297
